winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
Stephan Bonnar,Kyle Kingsbury,"


                        8                    ",Decision (Unanimous),Dan Stell,3,5:00,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Ryan Bader,Jason Brilz,"


                        7                    ",KO (Punch),Jason McCoy,1,1:17,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Michael McDonald,Alex Soto,"


                        6                    ",KO (Punches),Josh Rosenthal,1,0:56,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Chris Weidman,Tom Lawlor,"


                        5                    ",Technical Submission (Brabo Choke),Dan Stell,1,2:07,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Gleison Tibau,Rafael dos Anjos,"


                        4                    ",Decision (Split),Jason McCoy,3,5:00,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Miguel Torres,Nick Pace,"


                        3                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Seth Baczynski,Matt Brown,"


                        2                    ",Submission (Guillotine Choke),Dan Stell,2,0:42,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
Danny Castillo,Shamar Bailey,"


                        1                    ",TKO (Punches),Jason McCoy,1,4:52,,2011-11-19T00:00:00-08:00," HP Pavillion, San Jose, California, United States",UFC 139 - Shogun vs. Henderson
"
Junior dos Santos
","
Cain Velasquez
",Match 10,Method KO (Punches),Referee John McCarthy,Round 1,Time 1:04,Heavyweight,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Benson Henderson,Clay Guida,"


                        9                    ",Decision (Unanimous),Herb Dean,3,5:00,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Dustin Poirier,Pablo Garza,"


                        8                    ",Submission (Brabo Choke),Larry Landless,2,1:32,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Ricardo Lamas,Cub Swanson,"


                        7                    ",Submission (Arm-Triangle Choke),John McCarthy,2,2:16,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
DaMarques Johnson,Clay Harvison,"


                        6                    ",KO (Punches),Herb Dean,1,1:34,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Darren Uyenoyama,Norifumi Yamamoto,"


                        5                    ",Decision (Unanimous),Larry Landless,3,5:00,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Robbie Peralta,Mackens Semerzier,"


                        4                    ",No Contest (Accidental Clash of Heads),John McCarthy,3,1:54,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Alex Caceres,Cole Escovedo,"


                        3                    ",Decision (Unanimous),Herb Dean,3,5:00,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Mike Pierce,Paul Bradley,"


                        2                    ",Decision (Split),Larry Landless,3,5:00,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
Aaron Rosa,Matt Lucas,"


                        1                    ",Decision (Majority),John McCarthy,3,5:00,,2011-11-12T00:00:00-08:00," Honda Center, Anaheim, California, United States",UFC on Fox 1 - Velasquez vs. Dos Santos
"
Mark Munoz
","
Chris Leben
",Match 10,Method TKO (Corner Stoppage),Referee Marc Goddard,Round 2,Time 5:00,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Renan Barao,Brad Pickett,"


                        9                    ",Submission (Rear-Naked Choke),Leon Roberts,1,4:09,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Thiago Alves,Papy Abedi,"


                        8                    ",Submission (Rear-Naked Choke),Dan Miragliotta,1,3:32,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Anthony Perosh,Cyrille Diabate,"


                        7                    ",Submission (Rear-Naked Choke),Marc Goddard,2,3:09,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Terry Etim,Edward Faaloloto,"


                        6                    ",Submission (Guillotine Choke),Leon Roberts,1,0:17,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
John Maguire,Justin Edwards,"


                        5                    ",Decision (Unanimous),Leon Roberts,3,5:00,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Philip De Fries,Rob Broughton,"


                        4                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Michihiro Omigawa,Jason Young,"


                        3                    ",Decision (Unanimous),Leon Roberts,3,5:00,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Che Mills,Chris Cope,"


                        2                    ",TKO (Knees and Punches),Marc Goddard,1,0:40,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
Chris Cariaso,Vaughan Lee,"


                        1                    ",Decision (Split),Dan Miragliotta,3,5:00,,2011-11-05T00:00:00-07:00," LG Arena, Birmingham, West Midlands, England",UFC 138 - Leben vs. Munoz
"
Nick Diaz
","
B.J. Penn
",Match 11,Method Decision (Unanimous),Referee Josh Rosenthal,Round 3,Time 5:00,Welterweight,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Cheick Kongo,Matt Mitrione,"


                        10                    ",Decision (Unanimous),Herb Dean,3,5:00,Heavyweight,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Roy Nelson,Mirko Filipovic,"


                        9                    ",TKO (Punches),Steve Mazzagatti,3,1:30,Heavyweight,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Scott Jorgensen,Jeff Curran,"


                        8                    ",Decision (Unanimous),Kim Winslow,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Hatsu Hioki,George Roop,"


                        7                    ",Decision (Split),Josh Rosenthal,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Donald Cerrone,Dennis Siver,"


                        6                    ",Submission (Rear-Naked Choke),Herb Dean,1,2:22,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Bart Palaszewski,Tyson Griffin,"


                        5                    ",KO (Punches),Steve Mazzagatti,1,2:45,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Brandon Vera,Eliot Marshall,"


                        4                    ",Decision (Unanimous),Kim Winslow,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Ramsey Nijem,Daniel Downes,"


                        3                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Francis Carmont,Chris Camozzi,"


                        2                    ",Decision (Unanimous),Herb Dean,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
Clifford Starks,Dustin Jacoby,"


                        1                    ",Decision (Unanimous),Steve Mazzagatti,3,5:00,,2011-10-29T00:00:00-07:00," Mandalay Bay Events Center, Las Vegas, Nevada, United States",UFC 137 - Penn vs. Diaz
"
Frankie Edgar
","
Gray Maynard
",Match 11,Method KO (Punches),Referee Josh Rosenthal,Round 4,Time 3:54,Lightweight,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Jose Aldo,Kenny Florian,"


                        10                    ",Decision (Unanimous),Dan Miragliotta,5,5:00,Featherweight,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Chael Sonnen,Brian Stann,"


                        9                    ",Submission (Arm-Triangle Choke),Kerry Hatley,2,3:51,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Nam Phan,Leonard Garcia,"


                        8                    ",Decision (Unanimous),Jacob Montalvo,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Joe Lauzon,Melvin Guillard,"


                        7                    ",Submission (Rear-Naked Choke),Kerry Hatley,1,0:47,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Demian Maia,Jorge Santiago,"


                        6                    ",Decision (Unanimous),Jacob Montalvo,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Anthony Pettis,Jeremy Stephens,"


                        5                    ",Decision (Split),Kerry Hatley,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Stipe Miocic,Joey Beltran,"


                        4                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Darren Elkins,Tiequan Zhang,"


                        3                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Aaron Simpson,Eric Schafer,"


                        2                    ",Decision (Unanimous),Jacob Montalvo,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
Mike Massenzio,Steve Cantwell,"


                        1                    ",Decision (Unanimous),Kerry Hatley,3,5:00,,2011-10-08T00:00:00-07:00," Toyota Center, Houston, Texas, United States",UFC 136 - Edgar vs. Maynard 3
"
Dominick Cruz
","
Demetrious Johnson
",Match 10,Method Decision (Unanimous),Referee Kevin Mulhall,Round 5,Time 5:00,Bantamweight,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Stefan Struve,Pat Barry,"


                        9                    ",Submission (Triangle Choke),Dan Miragliotta,2,3:22,Heavyweight,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Anthony Johnson,Charlie Brenneman,"


                        8                    ",KO (Head Kick),Mario Yamasaki,1,2:49,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Matt Wiman,Mac Danzig,"


                        7                    ",Decision (Unanimous),Fernando Yamasaki,3,5:00,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Yves Edwards,Rafaello Oliveira,"


                        6                    ",TKO (Punches),Mario Yamasaki,2,2:44,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Paul Sass,Michael Johnson,"


                        5                    ",Submission (Heel Hook),Dan Miragliotta,1,3:00,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Mike Easton,Byron Bloodworth,"


                        4                    ",TKO (Knee to the Body and Punches),Kevin Mulhall,2,4:52,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
T.J. Grant,Shane Roller,"


                        3                    ",Technical Submission (Armbar),Fernando Yamasaki,3,2:12,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Josh Neer,Keith Wisniewski,"


                        2                    ",TKO (Doctor Stoppage),Dan Miragliotta,2,5:00,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
Walel Watson,Joseph Sandoval,"


                        1                    ",TKO (Punches),Mario Yamasaki,1,1:17,,2011-10-01T00:00:00-07:00," Verizon Center, Washington, D.C., United States",UFC Live 6 - Cruz vs. Johnson
"
Jon Jones
","
Quinton Jackson
",Match 10,Method Submission (Rear-Naked Choke),Referee Josh Rosenthal,Round 4,Time 1:14,Light Heavyweight,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Josh Koscheck,Matt Hughes,"


                        9                    ",KO (Punches),Mario Yamasaki,1,4:59,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Mark Hunt,Ben Rothwell,"


                        8                    ",Decision (Unanimous),Adam Martinez,3,5:00,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Travis Browne,Rob Broughton,"


                        7                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Nate Diaz,Takanori Gomi,"


                        6                    ",Submission (Armbar),Mario Yamasaki,1,4:27,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Tony Ferguson,Aaron Riley,"


                        5                    ",TKO (Jaw Injury),Tom Johnson,1,5:00,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Tim Boetsch,Nick Ring,"


                        4                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Junior Assuncao,Eddie Yagin,"


                        3                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
Takeya Mizugaki,Cole Escovedo,"


                        2                    ",TKO (Punches),Adam Martinez,2,4:30,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
James Te Huna,Ricardo Romero,"


                        1                    ",KO (Punches),Tim Mills,1,0:47,,2011-09-24T00:00:00-07:00," Pepsi Center, Denver, Colorado, United States",UFC 135 - Jones vs. Rampage
"
Jake Ellenberger
","
Jake Shields
",Match 12,Method TKO (Knee and Punches),Referee Kevin Mulhall,Round 1,Time 0:53,Welterweight,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Court McGee,Dongi Yang,"


                        11                    ",Decision (Unanimous),Yves Lavigne,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Erik Koch,Jonathan Brookins,"


                        10                    ",Decision (Unanimous),Myron Gaudet,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Alan Belcher,Jason MacDonald,"


                        9                    ",TKO (Submission to Punches),Dan Miragliotta,1,3:48,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Vagner Rocha,Cody McKenzie,"


                        8                    ",Submission (Rear-Naked Choke),Yves Lavigne,2,3:49,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Evan Dunham,Shamar Bailey,"


                        7                    ",Decision (Unanimous),Kevin Mulhall,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Lance Benoist,Matt Riddle,"


                        6                    ",Decision (Unanimous),Dan Miragliotta,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Ken Stone,Donny Walker,"


                        5                    ",Technical Submission (Rear-Naked Choke),Myron Gaudet,1,2:40,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Seth Baczynski,Clay Harvison,"


                        4                    ",Submission (Rear-Naked Choke),Yves Lavigne,2,1:12,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
T.J. Waldburger,Mike Stumpf,"


                        3                    ",Submission (Triangle Choke),Dan Miragliotta,1,3:52,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Robbie Peralta,Mike Lullo,"


                        2                    ",Decision (Unanimous),Myron Gaudet,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
Justin Edwards,Jorge Lopez,"


                        1                    ",Decision (Unanimous),Kevin Mulhall,3,5:00,,2011-09-17T00:00:00-07:00," Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",UFC Fight Night 25 - Shields vs. Ellenberger
"
Anderson Silva
","
Yushin Okami
",Match 12,Method TKO (Punches),Referee Herb Dean,Round 2,Time 2:04,Middleweight,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Mauricio Rua,Forrest Griffin,"


                        11                    ",KO (Punches),Marc Goddard,1,1:53,Light Heavyweight,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Edson Barboza,Ross Pearson,"


                        10                    ",Decision (Split),Mario Yamasaki,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Antonio Rodrigo Nogueira,Brendan Schaub,"


                        9                    ",KO (Punches),Herb Dean,1,3:09,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Stanislav Nedkov,Luiz Cane,"


                        8                    ",TKO (Punches),Mario Yamasaki,1,4:20,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Thiago Tavares,Spencer Fisher,"


                        7                    ",TKO (Punches),Marc Goddard,2,2:51,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Rousimar Palhares,Dan Miller,"


                        6                    ",Decision (Unanimous),Herb Dean,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Paulo Thiago,David Mitchell,"


                        5                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Raphael Assuncao,Johnny Eduardo,"


                        4                    ",Decision (Unanimous),Marc Goddard,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Erick Silva,Luis Ramos,"


                        3                    ",TKO (Punches),Herb Dean,1,0:40,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Iuri Alcantara,Felipe Arantes,"


                        2                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
Yves Jabouin,Ian Loveland,"


                        1                    ",Decision (Split),Marc Goddard,3,5:00,,2011-08-27T00:00:00-07:00," HSBC Arena, Rio de Janeiro, Brazil, Brazil",UFC 134 - Silva vs. Okami
"
Chris Lytle
","
Dan Hardy
",Match 12,Method Submission (Guillotine Choke),Referee Herb Dean,Round 3,Time 4:16,Welterweight,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Benson Henderson,Jim Miller,"


                        11                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Donald Cerrone,Charles Oliveira,"


                        10                    ",TKO (Punches),Mario Yamasaki,1,3:01,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Duane Ludwig,Amir Sadollah,"


                        9                    ",Decision (Unanimous),Rob Hinds,3,5:00,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Jared Hamman,C.B. Dollaway,"


                        8                    ",TKO (Punches),Herb Dean,2,3:38,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Joseph Benavidez,Eddie Wineland,"


                        7                    ",Decision (Unanimous),Josh Rosenthal,3,5:00,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Ed Herman,Kyle Noke,"


                        6                    ",Submission (Inverted Heel Hook),Mario Yamasaki,1,4:15,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Ronny Markes,Karlos Vemola,"


                        5                    ",Decision (Unanimous),Rob Hinds,3,5:00,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Jim Hettes,Alex Caceres,"


                        4                    ",Submission (Rear-Naked Choke),Herb Dean,2,3:12,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Cole Miller,T.J. O'Brien,"


                        3                    ",Submission (Guillotine Choke),Josh Rosenthal,2,2:38,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Jacob Volkmann,Danny Castillo,"


                        2                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
Edwin Figueroa,Jason Reinhardt,"


                        1                    ",TKO (Elbows and Punches),Rob Hinds,2,0:50,,2011-08-14T00:00:00-07:00," Bradley Center, Milwaukee, Wisconsin, United States",UFC Live 5 - Hardy vs. Lytle
"
Rashad Evans
","
Tito Ortiz
",Match 11,Method TKO (Knee to the Body and Punches),Referee Dan Miragliotta,Round 2,Time 4:48,Light Heavyweight,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Vitor Belfort,Yoshihiro Akiyama,"


                        10                    ",KO (Punches),Mario Yamasaki,1,1:52,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Brian Ebersole,Dennis Hallman,"


                        9                    ",TKO (Elbows),Kevin Mulhall,1,4:28,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Costas Philippou,Jorge Rivera,"


                        8                    ",Decision (Split),Mario Yamasaki,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Rory MacDonald,Mike Pyle,"


                        7                    ",TKO (Punches),Kevin Mulhall,1,3:54,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Alexander Gustafsson,Matt Hamill,"


                        6                    ",TKO (Punches and Elbows),Dan Miragliotta,2,3:41,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Chad Mendes,Rani Yahya,"


                        5                    ",Decision (Unanimous),Keith Peterson,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Ivan Menjivar,Nick Pace,"


                        4                    ",Decision (Unanimous),Keith Peterson,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Johny Hendricks,Mike Pierce,"


                        3                    ",Decision (Split),Mario Yamasaki,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Mike Thomas Brown,Nam Phan,"


                        2                    ",Decision (Unanimous),Keith Peterson,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
Rafael Natal,Paul Bradley,"


                        1                    ",Decision (Unanimous),Kevin Mulhall,3,5:00,,2011-08-06T00:00:00-07:00," Wells Fargo Center, Philadelphia, Pennsylvania, United States",UFC 133 - Evans vs. Ortiz 2
"
Dominick Cruz
","
Urijah Faber
",Match 11,Method Decision (Unanimous),Referee Steve Mazzagatti,Round 5,Time 5:00,Bantamweight,2011-07-02T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 132 - Cruz vs. Faber 2
Chris Leben,Wanderlei Silva,"


                        10                    ",KO (Punches),Josh Rosenthal,1,0:27,,2011-07-02T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 132 - Cruz vs. Faber 2
Dennis Siver,Matt Wiman,"


                        9                    ",Decision (Unanimous),Yves Lavigne,3,5:00,,2011-07-02T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 132 - Cruz vs. Faber 2
Tito Ortiz,Ryan Bader,"


                        8                    ",Submission (Guillotine Choke),Mario Yamasaki,1,1:56,,2011-07-02T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 132 - Cruz vs. Faber 2
